Date,Adj Close,Vaccine,Virus,Flu
2019-12-02,34.902515,15,2,16
2019-12-09,34.938969,14,2,18
2019-12-16,35.75935,13,2,20
2019-12-23,35.841389,11,2,24
2019-12-30,35.485886,12,2,24
2020-01-06,35.996346,15,2,23
2020-01-13,36.926109,15,2,23
2020-01-20,36.29715,16,14,28
2020-01-27,33.945408,20,32,45
2020-02-03,35.03804,18,18,38
2020-02-10,33.619942,17,14,34
2020-02-17,32.892471,16,12,26
2020-02-24,30.774542,25,32,46
2020-03-02,32.247883,31,41,57
2020-03-09,30.120741,51,73,93
2020-03-16,26.713627,73,100,100
2020-03-23,28.45402,65,82,72
2020-03-30,30.977125,57,51,58
2020-04-06,32.5886,51,36,42
2020-04-13,33.988277,47,27,32
2020-04-20,34.421074,53,23,30
2020-04-27,34.660496,50,18,25
2020-05-04,34.273739,60,16,21
2020-05-11,35.117519,50,14,19
2020-05-18,34.875713,55,12,18
2020-05-25,35.517429,40,10,16
2020-06-01,33.471386,36,9,10
2020-06-08,31.388144,39,9,10
2020-06-15,31.081238,42,8,11
2020-06-22,29.797808,44,8,14
2020-06-29,32.094959,49,9,19
2020-07-06,31.462545,49,7,18
2020-07-13,33.713188,78,7,20
2020-07-20,35.024517,68,7,16
2020-07-27,35.787132,56,6,14
2020-08-03,36.108727,54,6,13
2020-08-10,35.742477,84,6,14
2020-08-17,36.512547,53,5,14
2020-08-24,35.601612,46,5,14
2020-08-31,34.145992,50,5,15
2020-09-07,33.87365,52,5,19
2020-09-14,34.399548,49,5,21
2020-09-21,33.85487,47,5,26
2020-09-28,34.164772,46,5,26
2020-10-05,34.549809,44,5,31
2020-10-12,35.639172,45,5,26
2020-10-19,35.855167,46,5,25
2020-10-26,33.319576,44,5,24
2020-11-02,34.183556,36,4,18
2020-11-09,36.641365,94,5,18
2020-11-16,36.700001,82,5,20
2020-11-23,37.23,71,4,16
2020-11-30,38.310001,100,4,17
