Date,Adj Close,Vaccine,Virus,Flu
2019-12-02,43.315044,15,2,16
2019-12-09,43.762375,14,2,18
2019-12-16,45.037754,13,2,20
2019-12-23,45.009193,11,2,24
2019-12-30,44.238262,12,2,24
2020-01-06,44.53331,15,2,23
2020-01-13,45.580257,15,2,23
2020-01-20,44.952087,16,14,28
2020-01-27,44.542831,20,32,45
2020-02-03,41.830284,18,18,38
2020-02-10,41.630417,17,14,34
2020-02-17,41.002247,16,12,26
2020-02-24,39.113956,25,32,46
2020-03-02,40.899326,31,41,57
2020-03-09,36.527592,51,73,93
2020-03-16,32.175167,73,100,100
2020-03-23,35.166855,65,82,72
2020-03-30,35.8424,57,51,58
2020-04-06,37.521606,51,36,42
2020-04-13,40.600155,47,27,32
2020-04-20,41.015125,53,23,30
2020-04-27,39.770199,50,18,25
2020-05-04,40.445747,60,16,21
2020-05-11,39.480682,50,14,19
2020-05-18,39.902042,55,12,18
2020-05-25,40.90715,40,10,16
2020-06-01,40.692471,36,9,10
2020-06-08,39.443398,39,9,10
2020-06-15,40.106968,42,8,11
2020-06-22,39.570255,44,8,14
2020-06-29,40.224068,49,9,19
2020-07-06,38.945721,49,7,18
2020-07-13,40.809574,78,7,20
2020-07-20,39.31654,68,7,16
2020-07-27,39.345814,56,6,14
2020-08-03,39.804459,54,6,13
2020-08-10,39.570255,84,6,14
2020-08-17,39.700829,53,5,14
2020-08-24,39.098553,46,5,14
2020-08-31,37.982864,50,5,15
2020-09-07,38.614761,52,5,19
2020-09-14,38.762859,49,5,21
2020-09-21,37.321346,47,5,26
2020-09-28,36.76844,46,5,26
2020-10-05,37.094261,44,5,31
2020-10-12,36.106922,45,5,26
2020-10-19,34.843132,46,5,25
2020-10-26,32.996807,44,5,24
2020-11-02,36.373505,36,4,18
2020-11-09,37.815014,94,5,18
2020-11-16,37.029999,82,5,20
2020-11-23,37.07,71,4,16
2020-11-30,36.790001,100,4,17
