Date,Adj Close,Vaccine,Virus,Flu,Health,Fin
2019/12/2,44.383251,15,2,16,60,80
2019/12/9,48.008736,14,2,18,60,82
2019/12/16,48.741547,13,2,20,60,85
2019/12/23,49.040455,11,2,24,55,75
2019/12/30,48.944031,12,2,24,57,80
2020/1/6,49.773266,15,2,23,64,89
2020/1/13,49.406864,15,2,23,63,86
2020/1/20,46.986656,16,14,28,67,86
2020/1/27,46.543114,20,32,45,73,90
2020/2/3,49.204372,18,18,38,68,91
2020/2/10,48.143726,17,14,34,67,88
2020/2/17,49.030811,16,12,26,67,89
2020/2/24,44.595383,25,32,46,76,92
2020/3/2,46.707031,31,41,57,75,95
2020/3/9,42.155895,51,73,93,89,98
2020/3/16,36.659813,73,100,100,100,100
2020/3/23,40.921684,65,82,72,93,90
2020/3/30,43.226185,57,51,58,85,92
2020/4/6,43.833645,51,36,42,84,89
2020/4/13,46.041718,47,27,32,78,93
2020/4/20,48.066589,53,23,30,75,88
2020/4/27,45.173916,50,18,25,69,88
2020/5/4,48.080002,60,16,21,70,90
2020/5/11,47.259998,50,14,19,70,90
2020/5/18,47.299999,55,12,18,70,86
2020/5/25,49.110001,40,10,16,68,84
2020/6/1,50.099998,36,9,10,66,91
2020/6/8,49.950001,39,9,10,68,90
2020/6/15,52.32,42,8,11,68,89
2020/6/22,50.91,44,8,14,67,87
2020/6/29,51.619999,49,9,19,68,93
2020/7/6,50.279999,49,7,18,66,89
2020/7/13,53.259998,78,7,20,68,89
2020/7/20,51.150002,68,7,16,68,87
2020/7/27,52.450001,56,6,14,67,90
2020/8/3,51.509998,54,6,13,65,93
2020/8/10,50.330002,84,6,14,65,90
2020/8/17,50.860001,53,5,14,66,84
2020/8/24,50.200001,46,5,14,66,88
2020/8/31,49.470001,50,5,15,64,87
2020/9/7,51.880001,52,5,19,66,84
2020/9/14,52.439999,49,5,21,66,85
2020/9/21,50.779999,47,5,26,64,82
2020/9/28,50.48,46,5,26,66,87
2020/10/5,50.810001,44,5,31,67,85
2020/10/12,50.27,45,5,26,67,85
2020/10/19,49.330002,46,5,25,67,83
2020/10/26,45.299999,44,5,24,66,81
2020/11/2,49.25,36,4,18,60,81
2020/11/9,51.009998,94,5,18,67,86
2020/11/16,50.52,82,5,20,67,86
2020/11/23,51.130001,71,4,16,63,84
2020/11/30,50.200001,100,4,17,65,90
