Date,Adj Close,Virus,Flu,Vaccine,Policy
2010-11-01,10.60354,5,12,13,0
2010-12-01,11.508444,5,16,9,0
2011-01-01,11.975089,5,18,12,0
2011-02-01,12.645491,5,13,12,0
2011-03-01,13.48911,5,9,13,0
2011-04-01,13.927453,5,7,12,0
2011-05-01,14.246251,5,5,13,0
2011-06-01,13.814159,5,5,12,0
2011-07-01,12.908861,4,5,12,0
2011-08-01,12.727799,4,5,13,0
2011-09-01,11.988206,4,9,17,0
2011-10-01,13.05955,4,13,17,0
2011-11-01,13.608785,4,11,15,0
2011-12-01,14.82104,5,10,12,0
2012-01-01,14.656669,4,9,13,0
2012-02-01,14.471745,4,10,13,0
2012-03-01,15.673915,4,9,12,0
2012-04-01,15.846917,4,7,14,0
2012-05-01,15.134147,4,6,15,0
2012-06-01,16.073843,4,5,14,0
2012-07-01,16.800661,6,6,16,0
2012-08-01,16.674862,7,6,16,0
2012-09-01,17.52714,6,10,17,0
2012-10-01,17.541243,4,14,17,0
2012-11-01,17.647043,4,12,15,0
2012-12-01,17.848269,4,18,13,0
2013-01-01,19.413908,4,38,19,0
2013-02-01,19.648191,4,15,13,0
2013-03-01,20.717821,4,10,13,0
2013-04-01,20.868572,4,10,14,0
2013-05-01,19.547684,4,6,14,0
2013-06-01,20.275248,4,5,15,0
2013-07-01,21.158354,4,5,14,0
2013-08-01,20.586538,4,6,16,0
2013-09-01,20.966013,4,10,19,0
2013-10-01,22.396343,4,16,20,0
2013-11-01,23.155293,4,13,17,0
2013-12-01,22.52561,4,15,14,0
2014-01-01,22.356468,4,25,17,0
2014-02-01,23.614021,4,13,14,0
2014-03-01,23.818342,4,10,14,0
2014-04-01,23.195448,4,8,16,0
2014-05-01,21.971903,4,7,15,0
2014-06-01,22.205151,3,6,15,0
2014-07-01,21.471962,4,5,15,0
2014-08-01,22.18218,7,6,17,100
2014-09-01,22.318031,6,11,19,0
2014-10-01,22.604841,11,19,27,0
2014-11-01,23.510542,4,13,17,0
2014-12-01,23.714165,4,20,15,0
2015-01-01,23.790295,4,22,20,0
2015-02-01,26.127449,4,23,28,0
2015-03-01,26.718901,4,16,17,0
2015-04-01,26.058411,3,11,16,0
2015-05-01,26.688175,3,8,16,0
2015-06-01,25.964279,3,7,17,0
2015-07-01,27.923414,3,6,17,0
2015-08-01,27.145981,3,7,18,0
2015-09-01,24.512711,3,11,21,0
2015-10-01,26.393501,3,17,22,0
2015-11-01,25.574064,3,13,17,0
2015-12-01,25.394995,3,11,14,0
2016-01-01,23.986788,6,11,14,0
2016-02-01,23.341684,8,14,16,0
2016-03-01,23.552515,5,15,15,0
2016-04-01,25.991993,5,10,17,0
2016-05-01,27.573284,4,9,15,0
2016-06-01,28.229094,4,7,16,0
2016-07-01,29.576012,4,6,17,0
2016-08-01,27.900387,5,7,19,0
2016-09-01,27.380491,4,12,20,84
2016-10-01,25.634352,3,17,20,0
2016-11-01,25.981964,3,13,16,0
2016-12-01,27.279472,3,14,14,0
2017-01-01,25.906345,3,18,17,0
2017-02-01,27.857693,3,20,17,0
2017-03-01,28.215734,3,14,16,73
2017-04-01,27.976547,3,10,17,0
2017-05-01,26.929077,3,9,17,0
2017-06-01,27.972538,3,7,18,0
2017-07-01,27.614449,3,7,18,80
2017-08-01,28.247349,3,10,20,76
2017-09-01,30.020073,3,14,20,0
2017-10-01,29.481899,3,19,22,75
2017-11-01,30.490976,3,16,20,0
2017-12-01,30.735659,3,22,17,0
2018-01-01,31.431486,3,60,21,70
2018-02-01,30.812021,3,47,21,0
2018-03-01,30.395193,3,17,19,0
2018-04-01,31.354406,3,12,20,0
2018-05-01,30.772022,3,9,19,72
2018-06-01,31.375097,2,8,20,73
2018-07-01,34.531635,2,7,21,0
2018-08-01,35.90667,3,8,23,70
2018-09-01,38.436432,3,14,23,0
2018-10-01,37.555546,3,24,27,0
2018-11-01,40.320316,2,18,22,70
2018-12-01,38.363907,2,18,18,0
2019-01-01,37.309223,3,23,22,0
2019-02-01,38.432991,3,27,26,0
2019-03-01,37.652805,3,19,26,0
2019-04-01,36.00378,2,14,30,0
2019-05-01,36.810558,2,11,28,0
2019-06-01,38.747032,2,10,24,0
2019-07-01,34.739952,2,8,22,0
2019-08-01,31.797253,3,9,24,0
2019-09-01,32.437805,3,15,25,67
2019-10-01,34.640648,3,24,28,0
2019-11-01,34.776066,2,21,23,0
2019-12-01,35.713772,3,25,20,0
2020-01-01,33.945408,11,36,24,0
2020-02-01,30.774542,20,47,29,0
2020-03-01,30.056282,100,100,64,0
2020-04-01,35.323498,38,47,56,0
2020-05-01,35.166958,15,25,55,0
2020-06-01,30.411621,10,16,44,0
2020-07-01,35.787132,9,22,67,58
2020-08-01,35.488914,6,18,62,0
2020-09-01,34.465286,5,28,63,0
2020-10-01,33.319576,5,34,57,0
2020-11-01,37.920025,5,22,100,0
