Date,Adj Close,Virus,Flu,Vaccine,Policy
2010-11-01,22.901985,5,12,13,0
2010-12-01,23.464359,5,16,9,0
2011-01-01,21.735352,5,18,12,0
2011-02-01,23.099413,5,13,12,0
2011-03-01,23.348209,5,9,13,0
2011-04-01,26.539516,5,7,12,0
2011-05-01,26.417948,5,5,13,0
2011-06-01,26.396488,5,5,12,0
2011-07-01,27.331751,4,5,12,0
2011-08-01,26.353418,4,5,13,0
2011-09-01,25.709848,4,9,17,0
2011-10-01,27.88917,4,13,17,0
2011-11-01,27.696142,4,11,15,0
2011-12-01,28.768032,5,10,12,0
2012-01-01,28.080816,4,9,13,0
2012-02-01,27.93582,4,10,13,0
2012-03-01,28.734058,4,9,12,0
2012-04-01,29.578615,4,7,14,0
2012-05-01,28.222202,4,6,15,0
2012-06-01,29.504208,4,5,14,0
2012-07-01,29.782612,6,6,16,0
2012-08-01,29.452419,7,6,16,0
2012-09-01,30.276854,6,10,17,0
2012-10-01,29.399458,4,14,17,0
2012-11-01,28.16193,4,12,15,0
2012-12-01,28.853338,4,18,13,0
2013-01-01,30.273764,4,38,19,0
2013-02-01,29.225035,4,15,13,0
2013-03-01,31.610647,4,10,13,0
2013-04-01,34.798004,4,10,14,0
2013-05-01,34.885609,4,6,14,0
2013-06-01,34.038162,4,5,15,0
2013-07-01,34.712524,4,5,14,0
2013-08-01,34.664833,4,6,16,0
2013-09-01,34.542736,4,10,19,0
2013-10-01,36.236481,4,16,20,0
2013-11-01,36.436153,4,13,17,0
2013-12-01,37.198959,4,15,14,0
2014-01-01,35.909992,4,25,17,0
2014-02-01,38.975651,4,13,14,0
2014-03-01,37.725945,4,10,14,0
2014-04-01,39.095749,4,8,16,0
2014-05-01,38.086048,4,7,15,0
2014-06-01,38.201633,3,6,15,0
2014-07-01,34.551479,4,5,15,0
2014-08-01,35.072937,7,6,17,100
2014-09-01,33.280273,6,11,19,0
2014-10-01,32.932777,11,19,27,0
2014-11-01,33.627766,4,13,17,0
2014-12-01,31.363886,4,20,15,0
2015-01-01,32.288513,4,22,20,0
2015-02-01,34.798214,4,23,28,0
2015-03-01,34.367058,4,16,17,0
2015-04-01,34.367058,3,11,16,0
2015-05-01,33.041523,3,8,16,0
2015-06-01,31.422846,3,7,17,0
2015-07-01,32.773308,3,6,17,0
2015-08-01,30.879637,3,7,18,0
2015-09-01,30.426617,3,11,21,0
2015-10-01,32.91058,3,17,22,0
2015-11-01,30.961622,3,13,17,0
2015-12-01,31.252384,3,11,14,0
2016-01-01,31.980444,6,11,14,0
2016-02-01,29.951164,8,14,16,0
2016-03-01,31.924959,5,15,15,0
2016-04-01,33.782986,5,10,17,0
2016-05-01,33.357845,4,9,15,0
2016-06-01,34.522919,4,7,16,0
2016-07-01,35.900974,4,6,17,0
2016-08-01,34.618507,5,7,19,0
2016-09-01,34.720459,4,12,20,84
2016-10-01,32.208805,3,17,20,0
2016-11-01,30.421665,3,13,16,0
2016-12-01,30.778559,3,14,14,0
2017-01-01,32.016544,3,18,17,0
2017-02-01,33.783924,3,20,17,0
2017-03-01,34.81543,3,14,16,73
2017-04-01,33.774933,3,10,17,0
2017-05-01,36.524815,3,9,17,0
2017-06-01,36.029533,3,7,18,0
2017-07-01,33.857063,3,7,18,80
2017-08-01,33.61475,3,10,20,76
2017-09-01,34.352596,3,14,20,0
2017-10-01,30.824266,3,19,22,75
2017-11-01,29.665073,3,16,20,0
2017-12-01,30.44105,3,22,17,0
2018-01-01,32.191818,3,60,21,70
2018-02-01,31.161961,3,47,21,0
2018-03-01,34.128521,3,17,19,0
2018-04-01,35.036991,3,12,20,0
2018-05-01,35.395126,3,9,19,72
2018-06-01,35.65786,2,8,20,73
2018-07-01,36.790138,2,7,21,0
2018-08-01,35.825932,3,8,23,70
2018-09-01,35.962357,3,14,23,0
2018-10-01,34.968624,3,24,27,0
2018-11-01,37.484283,2,18,22,70
2018-12-01,34.623272,2,18,18,0
2019-01-01,35.520344,3,23,22,0
2019-02-01,36.571457,3,27,26,0
2019-03-01,38.421848,3,19,26,0
2019-04-01,37.815041,2,14,30,0
2019-05-01,35.525723,2,11,28,0
2019-06-01,37.239567,2,10,24,0
2019-07-01,38.412025,2,8,22,0
2019-08-01,38.691181,3,9,24,0
2019-09-01,40.176758,3,15,25,67
2019-10-01,43.113762,3,24,28,0
2019-11-01,42.812531,2,21,23,0
2019-12-01,44.723667,3,25,20,0
2020-01-01,44.542831,11,36,24,0
2020-02-01,38.57523,20,47,29,0
2020-03-01,36.566193,100,100,64,0
2020-04-01,40.600155,38,47,56,0
2020-05-01,40.455395,15,25,55,0
2020-06-01,39.804459,10,16,44,0
2020-07-01,39.345814,9,22,67,58
2020-08-01,38.643208,6,18,62,0
2020-09-01,37.163372,5,28,63,0
2020-10-01,32.996807,5,34,57,0
2020-11-01,36.324139,5,22,100,0
